Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
1;29;-22;11;-21;63;75;91;42;55;91
1;28;55;69;-87;-69;28;4;84;28;-85
1;67;99;3;5;97;-53;-90;42;22;-22
1;68;-100;-12;59;9;-58;64;-84;20;70
1;64;-100;9;-91;6;74;-37;-18;23;-1
1;-56;97;55;57;-14;25;81;-29;89;56
1;27;63;26;73;-40;98;-62;91;-10;-54
1;-45;51;-53;41;20;9;12;29;61;31
1;-32;-52;-78;-74;-61;-35;79;33;30;-12
1;7;-54;71;-25;27;-33;77;52;-67;39
0;18;-54;-88;-99;16;-94;27;-35;10;-76
1;25;-86;-98;-79;52;-28;83;98;-61;-81
0;62;0;56;-85;-77;-64;-65;30;-34;-88
0;-66;-93;-1;31;35;91;-78;-37;-12;0
1;-39;-13;16;25;-58;19;71;29;73;24
0;55;19;85;40;-55;-89;-12;-44;77;36
0;-51;-29;56;68;-24;-3;24;49;-74;-17
1;76;-60;68;91;-29;-46;9;-50;-38;-41
0;-14;-49;74;-88;0;20;-32;-76;-71;83
0;43;-50;-24;-90;-59;-77;82;31;-24;-53
1;-51;-44;22;92;17;-63;63;18;-50;-64
1;-70;-53;-25;-36;-21;-4;-99;25;-57;2
1;52;80;-100;-34;80;-40;-39;10;-43;80
0;-98;-21;27;-93;73;-56;0;25;-69;-45
0;68;30;33;30;64;22;34;62;67;21
1;92;-41;-33;91;50;29;-32;-37;5;22
0;-48;89;-75;77;-73;23;81;40;-87;-72
0;63;-59;-41;-78;-82;-40;2;-15;-88;33
0;-3;29;18;-88;-35;-48;-33;72;-15;-11
0;-77;32;95;76;73;95;87;-2;-50;-69
0;-44;-68;41;54;90;-67;-10;66;22;40
1;9;-82;-23;-58;84;73;-18;-94;-34;0
0;-17;-15;29;38;-41;48;-43;38;-37;62
0;-1;-89;-66;1;63;-38;-14;-51;-43;27
0;51;-64;57;69;3;48;-85;-3;51;86
0;6;0;7;-84;94;-1;84;-34;-78;0
1;1;-61;-48;34;-21;51;-54;82;-26;70
0;-6;28;90;-36;-8;53;-19;96;74;-89
1;-75;-8;9;46;-23;-63;-30;-89;-6;83
1;54;35;-40;-73;-52;-21;-50;25;-38;10
0;89;79;-29;35;63;-36;26;51;-20;43
0;39;58;32;94;75;-18;-53;53;75;-23
0;31;-33;95;-11;1;-41;31;32;-73;-72
1;34;-12;-36;-11;15;-48;60;29;95;-43
1;39;94;-81;18;81;-70;-87;8;-9;-71
0;-7;-98;61;49;-22;-72;-19;98;-46;-60
0;51;-86;23;-21;-37;49;16;78;71;-51
1;83;11;82;-2;32;-80;-4;68;93;4
1;-40;97;-27;-58;54;29;-54;-100;-29;-42
0;57;-88;-36;-62;32;-91;38;-14;88;5
1;-15;-52;81;-97;76;-34;100;74;-95;-32
1;21;-19;30;6;16;-37;-36;53;-53;-88
1;-81;24;-64;88;-41;-29;75;72;51;22
1;36;-74;-80;34;-47;72;64;-23;7;-20
0;47;-91;-35;83;26;46;-72;60;36;-29
1;-14;57;44;-38;81;-73;-1;-45;-3;-24
0;-68;-14;43;46;-60;4;-12;61;38;57
1;-57;-100;-62;78;49;-76;-9;22;-45;82
0;41;89;3;-6;-39;46;0;58;66;-32
1;63;19;33;93;-56;95;7;-23;83;-44
1;-93;-93;-94;95;84;-41;-90;42;72;59
0;56;-14;-70;65;-75;48;32;-69;-93;32
0;-10;-89;-46;-54;-40;46;-59;-95;19;-85
0;-71;2;-67;87;-29;-89;19;47;32;61
0;28;6;-84;35;-12;-38;-29;79;30;-41
0;-12;1;-66;-61;-17;89;-55;87;6;-85
0;10;4;52;-69;-68;89;-36;37;-29;73
1;-38;-4;93;48;-32;-6;62;-73;82;2
1;62;69;4;99;2;46;-62;62;-54;-72
1;-57;76;-77;53;36;44;-73;-3;-27;44
0;15;69;44;95;37;80;9;77;0;12
0;-55;0;-36;7;82;84;97;55;73;-80
0;-74;48;-84;72;61;9;-48;62;-1;-28
1;76;30;-48;73;89;-12;91;-73;-61;-99
0;59;58;-14;-94;-59;-14;81;-45;86;-87
1;-10;41;3;-65;53;-1;-5;34;20;73
0;-18;25;-56;11;-6;27;-74;-27;81;36
1;-65;-86;40;-71;-96;-23;-16;56;36;27
0;-19;-63;67;85;-17;-34;87;43;-34;1
0;-75;-37;-24;-7;80;-75;55;1;-6;-9
1;-65;-58;20;-96;97;35;-44;-9;-78;71
0;-92;-70;-22;-25;-33;-4;50;56;28;-79
1;-30;5;-3;-11;-94;-56;74;70;-60;51
1;-86;-15;4;62;-44;-4;18;-29;24;-88
0;-58;39;83;47;-32;16;-55;90;22;-63
0;-56;84;-17;-7;-33;52;15;-45;48;-72
1;100;52;69;17;85;-30;99;30;65;-70
0;72;-80;67;-34;41;50;-20;-16;22;-23
0;53;91;91;-2;16;-51;52;-39;-87;76
0;100;-99;16;-94;83;-58;-65;59;60;9
0;-39;-5;-61;27;20;20;-67;-17;-76;51
1;80;-12;32;-31;93;-9;-60;-72;-23;80
1;24;81;41;84;51;-60;90;62;-5;80
0;43;-7;-35;-61;52;98;99;79;-39;-36
0;20;-83;-92;-56;2;28;-38;-77;-58;33
0;-34;-33;74;-51;-81;20;60;18;61;-2
0;82;-36;54;59;-94;93;62;-78;51;-59
1;-79;53;-28;84;-3;12;75;-99;62;59
